username,has_archive,archive_cutoff,tweet_count_in_fresh,min_date,max_date,days_covered,rate_per_day,days_since_cutoff,estimated_total,statuses_count_alltime,followers_count,display_name,error,api_error
0xosprey,True,2025-11-25,285,2025-11-26,2026-02-27,93,3.06,96,294,,,,,
33asr,True,2025-09-03,5,2025-09-13,2026-02-07,157,0.03,180,6,,,,,
5matthewdub,True,2025-09-03,590,2025-10-14,2026-02-27,177,3.33,180,600,,,,,
__drewface,True,2025-09-03,752,2025-12-07,2026-02-27,177,4.25,180,765,,,,,
__venki__,True,2025-09-03,577,2025-09-03,2026-02-27,177,3.26,180,587,,,,,
_blinding_light,True,2026-01-01,65,2026-01-15,2026-02-20,50,1.3,60,78,,,,,
_brentbaum,True,2025-09-03,102,2025-10-02,2026-02-27,176,0.58,180,104,,,,,
_ceee_,True,2025-09-03,2778,2025-10-10,2026-02-27,177,15.69,180,2825,,,,,
_hermes_tri_,True,2025-06-19,0,,,,,,,,,,empty_file,
A_Variengien,True,2025-11-25,89,2025-12-05,2026-02-21,88,1.01,97,98,,,,,
AaronBergman18,True,2025-09-03,447,2026-02-03,2026-02-27,177,2.53,180,455,,,,,
abhayance,True,2025-02-17,0,,,,,,,,,,empty_file,
abrakjamson,True,2025-11-26,425,2025-12-03,2026-02-27,93,4.57,96,439,,,,,
abrleth,True,2025-02-16,0,,,,,,,,,,empty_file,
actualhog,True,2024-12-11,850,2024-12-11,2026-01-07,392,2.17,446,967,,,,,
adam_kranz,True,2025-01-05,207,2025-12-24,2026-02-27,417,0.5,420,208,,,,,
Adellama_,True,2025-06-07,2229,2025-08-02,2026-02-27,265,8.41,268,2254,,,,,
adic_9,True,2024-11-07,3333,2024-12-05,2026-02-27,476,7.0,479,3354,,,,,
adityaarpitha,True,2025-10-04,198,2025-10-12,2026-02-24,142,1.39,149,208,,,,,
aeyokay,True,2025-10-17,542,2026-01-17,2026-02-27,132,4.11,136,558,,,,,
alcentian_one,True,2024-09-20,253,2025-06-25,2026-02-22,520,0.49,528,257,,,,,
aleksil79,True,2024-09-14,3022,2025-07-30,2026-02-27,531,5.69,533,3033,,,,,
aleksj,True,2026-02-14,6,2026-02-18,2026-02-26,12,0.5,16,8,,,,,
alex_with_ease,True,2025-01-12,139,2025-12-23,2026-02-27,411,0.34,414,140,,,,,
AlexKrusz,True,2025-10-16,388,2025-10-16,2026-02-27,133,2.92,136,397,,,,,
AlexPalcuie,True,2025-03-09,562,2025-04-12,2026-02-27,354,1.59,357,567,,,,,
algekalipso,True,2024-11-01,1072,2025-12-21,2026-02-27,483,2.22,486,1079,,,,,
aliceisplaying,True,2025-12-08,0,,,,,,,,,,empty_file,
ALightcone,True,2024-12-18,1291,2025-05-26,2026-02-27,436,2.96,438,1297,,,,,
